Case,PeakT,FinalT
cont_normal,44.3075854794666,40.0025714901197
cont_runaway,55.3924693028155,39.9986138219769
disc_normal,43.7954187214202,39.9984996104635
disc_runaway,54.8711344587772,39.9991001028162
